,,Overall,,,,,,,Conf.,,,Home,,,Away,,,Points,,,Totals,,,,,,,,,,,,,,,,
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
53,Colgate,31,13,18,0.419,-2.51,-4.08,,6,12,,7,8,,6,10,,69.6,67.2,,40.6,25.3,52.3,0.484,8.39,21.2,0.396,10.6,14.8,0.715,7.1,30.8,14.2,4.61,2.26,11.5,17.1
54,College of Charleston,32,14,18,0.438,-2.02,-1.89,,6,10,,9,7,,4,8,,63,62.7,,40.6,22.2,53.7,0.412,6.53,19.2,0.341,12.2,18.5,0.656,12.3,37.9,10.1,4.66,4.13,12.8,18.6
55,Colorado ,35,23,12,0.657,10.8,8.8,,10,8,,16,2,,5,6,,70.2,68.2,,40.4,23.3,53.5,0.435,5.17,16.3,0.318,18.5,25.8,0.718,11.5,37.3,11.3,5.91,3.29,13.3,16.5
56,Colorado State,32,16,16,0.5,3.29,2.16,,7,11,,14,6,,2,9,,73.3,69.7,,40,24.1,56.2,0.428,5.31,16.3,0.326,19.9,27.4,0.726,12.7,37.6,12.7,4.97,3.22,9.16,18.5
57,Columbia,34,21,13,0.618,2.21,-1.92,,8,6,,14,4,,5,8,,68,63.3,,40.7,21.8,48.9,0.446,8.18,21.1,0.388,16.2,20.9,0.775,8.35,32.7,12.3,5.09,2.79,12.1,18.4
58,Connecticut ,40,32,8,0.8,17.23,8.63,,12,6,,14,3,,6,4,,71.8,63.2,,40.3,24.3,54.1,0.449,7.17,18.5,0.387,16.1,20.7,0.777,9.68,34.7,12.2,7.03,5.75,11.4,18
59,Coppin State,32,12,20,0.375,-11.09,-4.99,,7,9,,5,7,,5,10,,69.7,75.1,,40.2,22.6,57.5,0.392,7.34,22.7,0.324,17.3,23.6,0.73,11.6,33.6,11.5,6,2.16,11.9,17
60,Cornell,28,2,26,0.071,-15.6,0.03,,1,13,,2,11,,0,15,,64.1,78.4,,40.4,23.3,56.8,0.41,6.86,21.5,0.318,10.7,16.1,0.664,10.4,31.4,10.7,4.18,2.79,12,20.8
61,Creighton ,35,27,8,0.771,18.03,7.17,,14,4,,16,0,,7,4,,78.7,67.9,,40,27.3,55.1,0.497,10.2,24.5,0.414,13.9,18.7,0.743,8.37,34.1,17.5,3.97,1.4,9.77,17.7
62,Dartmouth,28,12,16,0.429,-4.85,-3.24,,5,9,,8,7,,4,9,,68,66.6,,40.2,24,54.1,0.444,6.21,16.4,0.379,13.8,20,0.686,10.8,33.1,12.6,5.93,3.07,12,20
63,Davidson,33,20,13,0.606,0.81,-3.73,,15,1,,8,4,,10,4,,78.5,72.8,,40.6,27.2,56.9,0.477,8.27,22,0.376,15.9,22.3,0.716,9.82,32.9,13.7,5.42,1.76,11.5,20.2
64,Dayton ,37,26,11,0.703,10.55,5.34,,10,6,,13,4,,7,4,,72.2,67,,40.3,25.3,54.5,0.463,6.57,17.4,0.377,15.1,22.1,0.681,11.2,34.8,13.1,6,2.59,11.9,19.9
65,Delaware ,35,25,10,0.714,2.73,-1.1,,14,2,,10,2,,11,7,,79.5,75.7,,40.1,26.7,60.2,0.444,7.2,20.8,0.347,18.8,26.4,0.711,11,36.1,10.8,5.94,3.51,9.54,18.9
66,Delaware State,30,9,21,0.3,-12.64,-6.11,,5,11,,7,7,,2,12,,61.6,64.9,,40.5,21.5,51,0.422,5.2,16.2,0.322,13.3,19.3,0.689,9.23,31.4,12.2,5.07,3.53,11.4,18.1
67,Denver,31,16,15,0.516,0.84,-0.42,,8,6,,9,4,,5,8,,65.9,64.5,,40.6,22.9,49.5,0.463,8.16,21.1,0.387,11.9,16.8,0.71,7.29,26.1,15,7,3.29,9.9,20
68,DePaul,33,12,21,0.364,1.5,7.47,,3,15,,8,9,,3,9,,69.4,75.4,,40.6,23.7,56,0.423,5.91,17.6,0.336,16.1,23.5,0.684,12.3,33.9,10.9,6.7,4.21,13.5,21.6
69,Detroit Mercy,32,13,19,0.406,-3.25,-0.25,,6,10,,8,7,,5,12,,71.1,70.8,,40.8,24.3,58.2,0.418,5.97,18.6,0.321,16.5,22.6,0.729,12.5,36.7,11.6,7.34,4.56,12.8,21.3
70,Drake,31,15,16,0.484,-0.77,1.03,,6,12,,9,5,,4,9,,68.3,68.2,,40.2,23.2,51.4,0.452,7.71,19.5,0.396,14.1,19.7,0.714,8.48,32.5,12.7,5.52,2.16,11.9,18.4
71,Drexel,30,16,14,0.533,1.23,-0.24,,8,8,,8,4,,6,8,,68.8,67.3,,41.5,23.9,56.9,0.421,5.13,16.4,0.314,15.8,22.3,0.709,10.5,35.7,11.8,4.57,3.9,8.5,21.3
72,Duke ,35,26,9,0.743,19.51,8.48,,13,5,,17,0,,4,5,,78.4,67.4,,40.1,26.5,57.7,0.46,9.03,22.9,0.395,16.3,22.4,0.729,11.7,34.5,14.5,6.97,3,9.37,19.5
